Category,JEE Marks,MHT-CET Marks,Branch,10th Marks,12th Marks
SC,47,182,Electrical,92,56
OBC,0,61,Civil,81,59
SC,152,161,Biotechnology,68,84
General,219,198,Biotechnology,95,82
General,42,120,Civil,82,76
General,44,113,Civil,80,73
ST,266,156,Electrical,92,92
ST,259,160,Electrical,92,93
SC,153,143,Biotechnology,71,55
OBC,48,199,Chemical Engineering,76,87
OBC,207,0,Biotechnology,62,68
OBC,16,162,Electrical,93,70
OBC,189,138,Biotechnology,73,51
OBC,70,84,Chemical Engineering,70,55
OBC,50,6,Biotechnology,65,52
ST,209,183,Mechanical,92,72
General,25,57,Biotechnology,86,81
ST,289,199,Biotechnology,71,94
General,188,29,Computer Science,64,77
ST,198,187,Mechanical,86,80
SC,138,142,Biotechnology,67,61
OBC,228,124,Biotechnology,80,92
SC,289,61,Chemical Engineering,86,50
OBC,38,194,Mechanical,96,55
OBC,82,107,Civil,71,89
General,218,200,Biotechnology,89,81
OBC,115,45,Mechanical,61,89
General,125,59,Mechanical,67,69
OBC,127,69,Chemical Engineering,96,86
General,187,3,Electrical,53,90
SC,166,148,Biotechnology,74,77
OBC,8,62,Civil,81,58
General,241,176,Mechanical,48,61
ST,3,8,Electrical,47,56
SC,300,54,Chemical Engineering,89,54
OBC,0,42,Biotechnology,89,56
OBC,85,194,Mechanical,70,97
SC,164,149,Biotechnology,68,82
SC,82,191,Electrical,65,90
SC,79,182,Electrical,66,92
OBC,0,32,Biotechnology,96,54
SC,188,14,Chemical Engineering,64,46
SC,266,134,Computer Science,54,76
SC,127,39,Mechanical,84,58
ST,155,22,Computer Science,89,61
ST,14,5,Civil,58,78
ST,53,133,Mechanical,52,50
OBC,298,51,Mechanical,90,74
OBC,151,15,Electrical,62,48
OBC,154,17,Electrical,62,52
ST,56,94,Electrical,100,59
General,148,59,Civil,81,83
OBC,100,58,Computer Science,91,51
OBC,118,55,Chemical Engineering,100,93
General,123,200,Mechanical,92,91
OBC,173,149,Biotechnology,68,53
OBC,7,169,Electrical,97,67
OBC,61,0,Biotechnology,62,47
OBC,64,2,Biotechnology,63,53
ST,152,0,Mechanical,77,96
OBC,170,80,Electrical,52,84
OBC,157,26,Electrical,63,50
General,115,198,Mechanical,85,92
OBC,43,200,Chemical Engineering,69,87
General,215,200,Biotechnology,95,83
SC,160,130,Biotechnology,74,86
OBC,273,195,Computer Science,74,77
OBC,289,48,Mechanical,85,73
General,127,199,Mechanical,92,88
General,192,45,Chemical Engineering,62,93
SC,49,129,Mechanical,56,77
ST,110,34,Mechanical,61,93
SC,271,122,Biotechnology,63,64
ST,89,175,Computer Science,92,98
ST,238,169,Chemical Engineering,90,57
SC,197,7,Chemical Engineering,66,66
General,244,186,Mechanical,92,75
OBC,214,120,Biotechnology,81,93
OBC,104,61,Computer Science,89,54
OBC,78,165,Mechanical,81,63
General,200,52,Chemical Engineering,68,90
OBC,0,54,Civil,82,54
SC,183,5,Chemical Engineering,64,45
ST,243,106,Computer Science,86,80
ST,226,111,Computer Science,89,74
General,14,37,Biotechnology,61,80
OBC,33,79,Mechanical,61,81
SC,188,3,Chemical Engineering,60,50
ST,157,0,Mechanical,75,89
General,49,113,Civil,80,74
ST,25,14,Electrical,93,83
SC,290,162,Civil,90,92
OBC,223,116,Biotechnology,84,89
General,239,165,Mechanical,55,66
General,150,0,Computer Science,97,100
ST,105,39,Mechanical,60,91
SC,89,177,Chemical Engineering,52,85
OBC,127,57,Chemical Engineering,100,93
ST,17,0,Electrical,52,58
General,148,1,Computer Science,100,95
SC,272,131,Computer Science,58,69
OBC,78,157,Mechanical,83,56
SC,172,129,Biotechnology,80,87
General,137,78,Mechanical,75,74
General,191,11,Electrical,47,94
OBC,124,67,Electrical,92,79
ST,260,145,Electrical,94,90
ST,17,0,Civil,60,81
OBC,43,197,Chemical Engineering,77,92
OBC,297,53,Mechanical,88,75
General,165,122,Computer Science,55,84
General,188,5,Electrical,52,91
SC,44,191,Electrical,90,58
OBC,292,57,Mechanical,91,73
General,155,58,Civil,73,83
OBC,187,78,Mechanical,53,57
SC,53,200,Mechanical,52,72
SC,51,200,Mechanical,56,71
ST,25,0,Electrical,96,83
SC,173,23,Mechanical,90,49
ST,106,34,Mechanical,61,95
General,14,188,Computer Science,98,82
ST,230,106,Computer Science,92,71
OBC,98,67,Computer Science,88,56
General,235,174,Mechanical,97,79
OBC,83,172,Mechanical,74,60
ST,146,198,Electrical,99,96
General,269,168,Mechanical,67,78
OBC,155,42,Electrical,69,73
OBC,102,187,Mechanical,70,97
SC,155,132,Biotechnology,74,90
General,236,200,Electrical,79,59
General,134,70,Mechanical,67,69
General,14,60,Biotechnology,83,74
OBC,215,114,Biotechnology,84,94
OBC,135,121,Mechanical,74,87
SC,158,161,Biotechnology,73,86
OBC,37,189,Mechanical,91,48
OBC,51,200,Chemical Engineering,72,84
General,134,72,Mechanical,71,76
OBC,72,76,Chemical Engineering,76,59
ST,57,152,Mechanical,60,49
OBC,207,35,Chemical Engineering,70,55
SC,55,196,Mechanical,52,72
SC,50,194,Mechanical,53,70
OBC,157,29,Electrical,70,75
General,234,172,Mechanical,90,75
SC,87,191,Chemical Engineering,58,85
General,156,43,Civil,79,80
ST,171,14,Computer Science,85,60
OBC,74,157,Mechanical,81,59
General,124,198,Mechanical,87,90
General,165,127,Computer Science,49,82
OBC,261,192,Computer Science,71,73
OBC,2,31,Biotechnology,98,59
SC,198,6,Chemical Engineering,72,69
OBC,286,56,Mechanical,89,77
OBC,185,145,Biotechnology,73,49
OBC,135,60,Electrical,92,86
OBC,141,46,Civil,49,90
OBC,180,153,Biotechnology,77,51
SC,290,60,Chemical Engineering,84,51
SC,300,55,Chemical Engineering,89,49
OBC,29,27,Chemical Engineering,55,63
General,44,124,Civil,83,71
General,182,16,Computer Science,81,66
OBC,171,84,Electrical,49,78
SC,190,0,Chemical Engineering,67,52
OBC,76,160,Mechanical,81,60
General,153,2,Computer Science,97,100
ST,138,185,Electrical,97,94
OBC,123,67,Chemical Engineering,96,89
OBC,31,81,Mechanical,55,78
OBC,99,68,Computer Science,89,52
General,217,200,Biotechnology,95,83
General,22,73,Biotechnology,80,72
OBC,52,123,Civil,96,96
ST,202,195,Mechanical,93,77
OBC,27,81,Mechanical,60,75
OBC,97,199,Mechanical,70,92
ST,244,165,Chemical Engineering,91,58
SC,100,119,Chemical Engineering,78,91
General,214,191,Biotechnology,98,83
General,132,31,Electrical,98,94
SC,128,48,Mechanical,89,53
ST,142,183,Computer Science,59,50
OBC,131,55,Electrical,94,85
ST,154,26,Computer Science,87,58
General,213,191,Biotechnology,96,78
General,160,73,Biotechnology,69,62
SC,145,44,Mechanical,90,55
OBC,45,24,Chemical Engineering,53,58
OBC,276,148,Chemical Engineering,75,91
SC,34,174,Chemical Engineering,63,83
OBC,0,61,Civil,87,53
General,18,62,Biotechnology,86,75
OBC,9,56,Civil,87,54
General,158,7,Computer Science,100,97
OBC,132,60,Civil,51,87
OBC,83,193,Mechanical,71,96
OBC,126,54,Electrical,94,80
ST,59,23,Biotechnology,86,87
General,185,10,Electrical,47,85
SC,300,57,Chemical Engineering,89,55
SC,269,129,Computer Science,52,70
SC,284,124,Computer Science,57,70
General,185,3,Computer Science,80,62
ST,154,21,Computer Science,89,62
General,233,185,Mechanical,92,73
OBC,209,123,Biotechnology,76,88
ST,210,192,Mechanical,89,78
SC,81,193,Chemical Engineering,52,79
OBC,274,155,Chemical Engineering,79,89
General,126,77,Mechanical,72,71
SC,179,8,Chemical Engineering,67,54
SC,43,121,Mechanical,61,83
General,175,115,Computer Science,55,88
SC,58,193,Mechanical,53,74
OBC,16,142,Biotechnology,61,73
General,151,54,Civil,81,84
General,113,171,Biotechnology,73,54
General,12,200,Computer Science,95,82
ST,156,70,Civil,76,73
OBC,40,200,Chemical Engineering,70,89
SC,276,129,Computer Science,60,72
General,208,200,Biotechnology,91,85
OBC,91,186,Mechanical,71,96
OBC,210,128,Biotechnology,74,83
OBC,15,146,Biotechnology,60,72
OBC,25,86,Mechanical,58,79
OBC,180,85,Electrical,52,79
General,160,60,Civil,74,86
OBC,207,22,Chemical Engineering,71,55
OBC,31,183,Mechanical,92,50
ST,152,0,Mechanical,70,90
SC,40,92,Civil,77,75
General,173,113,Computer Science,55,81
OBC,141,59,Civil,50,91
ST,11,8,Electrical,52,51
ST,293,137,Computer Science,66,79
OBC,163,33,Electrical,74,70
General,175,35,Computer Science,69,80
ST,59,144,Mechanical,56,48
General,164,111,Computer Science,49,84
OBC,27,60,Biotechnology,54,79
ST,241,112,Computer Science,90,73
OBC,104,66,Computer Science,89,60
ST,206,185,Mechanical,87,73
OBC,80,131,Biotechnology,60,85
SC,62,199,Mechanical,53,74
SC,153,135,Biotechnology,73,59
SC,54,190,Mechanical,52,68
General,192,46,Chemical Engineering,69,97
OBC,179,53,Civil,59,84
ST,285,200,Biotechnology,73,93
OBC,287,137,Chemical Engineering,79,89
OBC,107,54,Computer Science,89,56
OBC,4,51,Civil,83,50
General,214,198,Biotechnology,89,82
SC,201,20,Chemical Engineering,69,68
OBC,9,135,Biotechnology,53,78
OBC,88,181,Mechanical,74,96
General,163,42,Civil,80,85
General,107,181,Biotechnology,76,61
General,85,96,Biotechnology,81,70
ST,12,9,Civil,59,83
OBC,185,49,Civil,61,85
ST,284,200,Biotechnology,71,89
OBC,270,198,Computer Science,75,77
OBC,31,62,Biotechnology,62,76
General,199,51,Chemical Engineering,62,91
ST,150,168,Computer Science,62,49
SC,182,8,Chemical Engineering,65,46
SC,46,176,Chemical Engineering,60,84
General,278,183,Mechanical,72,77
General,128,29,Electrical,91,92
General,237,169,Mechanical,52,59
SC,139,36,Mechanical,86,60
ST,230,155,Chemical Engineering,87,55
SC,52,175,Electrical,90,56
ST,170,18,Computer Science,87,63
OBC,167,46,Electrical,73,76
ST,9,2,Civil,51,80
SC,283,138,Computer Science,53,72
OBC,82,173,Mechanical,81,59
ST,96,29,Civil,55,66
General,158,84,Biotechnology,69,61
SC,38,182,Chemical Engineering,67,81
SC,285,120,Computer Science,52,69
SC,197,9,Chemical Engineering,72,64
OBC,111,50,Computer Science,89,56
General,185,2,Electrical,52,91
SC,86,179,Chemical Engineering,59,81
OBC,47,8,Biotechnology,65,46
OBC,295,55,Mechanical,89,75
General,102,108,Biotechnology,81,74
SC,129,33,Mechanical,88,54
ST,21,8,Electrical,99,89
SC,135,45,Mechanical,90,58
ST,230,170,Chemical Engineering,84,55
SC,265,117,Biotechnology,65,64
SC,60,200,Mechanical,54,68
General,270,181,Mechanical,68,83
OBC,65,72,Chemical Engineering,76,58
ST,17,4,Electrical,51,53
SC,269,129,Biotechnology,62,57
ST,209,180,Mechanical,93,72
SC,230,196,Chemical Engineering,52,75
General,158,48,Civil,77,80
OBC,0,51,Civil,87,57
OBC,53,123,Civil,88,96
OBC,5,139,Biotechnology,53,77
General,159,59,Civil,72,86
General,209,197,Biotechnology,95,83
OBC,66,0,Biotechnology,71,55
OBC,106,64,Computer Science,89,52
OBC,126,70,Electrical,89,83
General,236,182,Mechanical,89,73
SC,163,136,Biotechnology,76,87
OBC,117,42,Mechanical,64,81
OBC,73,105,Civil,69,86
General,27,22,Biotechnology,66,83
ST,26,7,Civil,57,85
OBC,77,124,Biotechnology,56,87
SC,295,156,Civil,86,92
General,25,200,Computer Science,94,82
OBC,155,9,Electrical,61,52
SC,264,126,Biotechnology,63,62
ST,1,0,Electrical,53,56
General,191,12,Electrical,54,89
ST,89,179,Computer Science,89,93
OBC,189,18,Chemical Engineering,67,56
General,52,123,Civil,83,74
SC,200,11,Chemical Engineering,70,64
SC,267,127,Biotechnology,67,64
General,125,194,Mechanical,92,83
ST,234,107,Computer Science,91,79
General,123,195,Mechanical,87,90
ST,16,13,Electrical,48,53
OBC,97,64,Computer Science,86,58
ST,61,91,Electrical,100,63
SC,283,120,Computer Science,51,69
ST,157,76,Civil,74,80
SC,95,187,Chemical Engineering,57,84
ST,16,0,Electrical,53,60
ST,4,6,Electrical,52,58
OBC,31,188,Mechanical,93,55
OBC,176,89,Electrical,48,82
SC,38,180,Chemical Engineering,65,81
OBC,159,41,Electrical,73,76
OBC,205,0,Biotechnology,63,71
General,272,166,Mechanical,67,86
General,186,47,Chemical Engineering,63,90
SC,274,128,Biotechnology,70,62
OBC,43,193,Chemical Engineering,70,92
OBC,269,147,Chemical Engineering,74,84
ST,199,194,Mechanical,89,71
SC,153,157,Biotechnology,77,83
SC,280,27,Computer Science,59,56
OBC,288,61,Mechanical,92,77
OBC,49,0,Biotechnology,63,48
SC,195,4,Chemical Engineering,63,54
OBC,219,126,Biotechnology,69,90
OBC,22,166,Electrical,92,69
SC,221,186,Chemical Engineering,51,71
SC,39,177,Chemical Engineering,65,81
OBC,204,9,Biotechnology,56,70
OBC,163,90,Electrical,52,79
SC,297,68,Chemical Engineering,85,53
OBC,174,143,Biotechnology,74,47
ST,149,178,Computer Science,61,52
ST,148,0,Mechanical,74,91
General,237,164,Mechanical,50,65
OBC,295,62,Mechanical,87,78
OBC,125,70,Electrical,92,83
General,236,182,Mechanical,94,71
General,7,200,Computer Science,94,84
OBC,165,45,Electrical,67,69
OBC,193,49,Civil,60,85
OBC,40,37,Chemical Engineering,49,58
OBC,147,20,Electrical,67,52
OBC,179,80,Mechanical,57,62
SC,96,184,Chemical Engineering,58,80
General,156,71,Biotechnology,71,56
OBC,124,51,Civil,47,88
SC,187,2,Chemical Engineering,62,46
ST,156,0,Mechanical,71,95
SC,81,188,Electrical,65,85
General,155,0,Computer Science,92,97
OBC,13,35,Biotechnology,96,58
SC,52,193,Mechanical,51,70
OBC,0,64,Civil,80,53
OBC,3,58,Civil,85,57
SC,149,139,Biotechnology,67,58
General,273,179,Mechanical,66,82
ST,106,33,Mechanical,66,96
OBC,84,139,Biotechnology,63,87
OBC,16,81,Mechanical,57,75
OBC,113,58,Computer Science,91,56
ST,30,0,Electrical,95,82
General,240,200,Electrical,78,55
General,184,29,Computer Science,66,80
OBC,160,14,Electrical,66,51
SC,43,170,Chemical Engineering,68,83
General,159,55,Civil,81,86
SC,111,110,Chemical Engineering,77,86
ST,197,195,Mechanical,95,77
ST,7,19,Civil,51,79
General,202,200,Biotechnology,92,77
SC,187,8,Chemical Engineering,71,62
General,170,74,Biotechnology,69,61
SC,290,154,Civil,86,87
OBC,129,51,Civil,49,93
SC,190,17,Chemical Engineering,69,70
OBC,59,0,Biotechnology,65,50
ST,103,28,Mechanical,64,93
General,157,0,Computer Science,97,100
OBC,76,176,Mechanical,80,57
OBC,110,39,Mechanical,67,81
OBC,28,75,Mechanical,54,80
SC,295,154,Civil,85,87
OBC,24,74,Mechanical,54,72
General,102,95,Biotechnology,76,74
OBC,132,46,Civil,52,88
General,194,61,Chemical Engineering,65,93
OBC,260,198,Computer Science,70,72
OBC,224,126,Biotechnology,84,92
General,129,23,Electrical,94,88
ST,67,98,Electrical,100,68
OBC,287,147,Chemical Engineering,77,83
SC,198,23,Chemical Engineering,72,63
OBC,30,190,Mechanical,95,49
OBC,260,184,Computer Science,75,76
SC,62,200,Mechanical,53,75
SC,165,158,Biotechnology,70,81
OBC,40,24,Chemical Engineering,54,63
ST,2,13,Electrical,49,54
OBC,218,5,Biotechnology,59,75
General,252,196,Electrical,76,59
ST,86,169,Computer Science,96,97
ST,153,72,Civil,79,75
OBC,189,27,Chemical Engineering,69,57
OBC,20,167,Electrical,92,67
OBC,29,71,Biotechnology,55,77
OBC,172,144,Biotechnology,71,55
General,30,67,Biotechnology,87,77
OBC,194,25,Chemical Engineering,70,55
General,212,27,Chemical Engineering,67,60
SC,293,160,Civil,84,90
SC,134,47,Mechanical,86,56
OBC,265,195,Computer Science,69,80
General,202,200,Biotechnology,97,81
ST,19,2,Civil,54,84
OBC,1,29,Biotechnology,97,58
SC,157,125,Biotechnology,78,92
SC,33,91,Civil,74,68
General,194,15,Computer Science,83,59
SC,186,10,Chemical Engineering,63,66
OBC,120,69,Chemical Engineering,93,92
ST,107,26,Mechanical,59,97
General,19,34,Biotechnology,62,77
General,233,175,Mechanical,50,59
SC,215,194,Chemical Engineering,56,79
ST,13,3,Electrical,46,56
ST,284,200,Biotechnology,71,96
SC,231,188,Chemical Engineering,57,74
General,113,167,Biotechnology,71,58
ST,107,27,Mechanical,60,92
OBC,114,58,Computer Science,91,53
General,121,70,Mechanical,69,76
OBC,152,111,Mechanical,71,86
General,38,113,Civil,79,68
OBC,35,32,Chemical Engineering,51,60
General,240,188,Electrical,74,60
General,14,200,Computer Science,94,90
OBC,116,59,Computer Science,93,59
OBC,43,189,Mechanical,97,54
SC,172,20,Mechanical,88,53
ST,139,182,Electrical,97,88
ST,241,164,Chemical Engineering,92,58
ST,28,0,Electrical,96,83
General,11,29,Biotechnology,60,80
ST,245,135,Mechanical,84,76
ST,51,101,Electrical,100,60
SC,277,34,Computer Science,59,55
General,243,175,Mechanical,90,76
General,10,186,Computer Science,91,83
OBC,115,33,Mechanical,67,81
SC,275,116,Biotechnology,68,64
General,45,117,Civil,85,72
SC,228,197,Chemical Engineering,48,74
OBC,76,81,Chemical Engineering,72,52
General,108,168,Biotechnology,71,55
ST,235,170,Chemical Engineering,90,57
ST,18,12,Electrical,99,81
OBC,197,83,Mechanical,59,60
General,226,180,Mechanical,48,61
General,12,30,Biotechnology,65,80
SC,164,16,Mechanical,82,52
ST,9,11,Electrical,46,54
SC,134,36,Mechanical,84,53
ST,141,195,Electrical,94,87
ST,140,175,Computer Science,67,45
OBC,82,171,Mechanical,77,63
OBC,117,63,Chemical Engineering,93,88
OBC,190,57,Civil,56,83
ST,75,32,Biotechnology,85,79
SC,43,125,Mechanical,57,82
General,116,38,Electrical,96,86
ST,154,184,Computer Science,64,53
OBC,120,65,Chemical Engineering,94,93
SC,278,119,Biotechnology,66,66
SC,214,194,Chemical Engineering,50,80
General,9,188,Computer Science,97,88
General,230,181,Mechanical,91,74
SC,107,108,Chemical Engineering,77,92
OBC,295,53,Mechanical,85,74
General,163,9,Computer Science,92,100
OBC,99,63,Computer Science,86,52
OBC,141,113,Mechanical,78,89
SC,45,91,Civil,72,73
ST,161,2,Mechanical,70,96
ST,229,135,Mechanical,86,71
General,18,200,Computer Science,99,82
ST,111,25,Mechanical,66,88
OBC,53,119,Civil,88,91
General,277,178,Mechanical,69,78
SC,93,180,Chemical Engineering,51,79
General,123,32,Electrical,100,94
General,116,33,Electrical,97,86
General,16,56,Biotechnology,80,81
OBC,0,25,Biotechnology,92,52
OBC,196,45,Civil,62,81
OBC,189,43,Civil,58,84
OBC,212,11,Biotechnology,64,72
SC,162,130,Biotechnology,81,85
SC,287,162,Civil,87,87
OBC,285,62,Mechanical,86,77
General,13,29,Biotechnology,61,80
OBC,76,135,Biotechnology,59,85
SC,35,81,Civil,76,71
General,246,199,Electrical,74,57
General,11,189,Computer Science,92,83
OBC,72,127,Biotechnology,62,79
OBC,219,0,Biotechnology,63,72
SC,59,188,Electrical,94,58
OBC,67,102,Civil,70,89
General,197,13,Computer Science,83,62
OBC,44,120,Civil,94,95
OBC,15,162,Electrical,98,69
SC,152,130,Biotechnology,73,58
OBC,55,0,Biotechnology,69,48
OBC,187,150,Biotechnology,69,54
OBC,85,190,Mechanical,66,95
SC,154,155,Biotechnology,73,86
SC,90,182,Electrical,66,87
General,112,200,Mechanical,88,92
OBC,221,130,Biotechnology,83,93
SC,182,0,Chemical Engineering,61,50
General,193,7,Electrical,53,87
ST,153,3,Mechanical,74,88
ST,211,188,Mechanical,90,76
General,121,68,Mechanical,75,71
SC,39,174,Chemical Engineering,61,88
ST,172,20,Computer Science,91,62
OBC,112,43,Mechanical,65,84
SC,167,126,Biotechnology,72,88
SC,48,176,Electrical,95,55
General,123,191,Mechanical,85,86
SC,189,22,Chemical Engineering,70,62
ST,285,200,Biotechnology,76,91
OBC,38,59,Biotechnology,55,78
ST,100,39,Mechanical,67,93
ST,143,67,Civil,75,81
General,193,19,Electrical,52,94
SC,63,192,Mechanical,54,67
SC,160,136,Biotechnology,78,90
SC,214,198,Chemical Engineering,55,76
ST,97,31,Civil,51,64
OBC,130,52,Civil,50,90
OBC,156,32,Electrical,73,68
General,154,58,Civil,81,88
OBC,10,166,Electrical,99,68
OBC,50,189,Chemical Engineering,72,92
SC,288,159,Civil,84,92
SC,166,22,Mechanical,84,54
ST,146,189,Electrical,96,88
SC,283,17,Computer Science,56,59
OBC,175,146,Biotechnology,75,50
OBC,198,84,Mechanical,52,57
General,188,32,Computer Science,73,77
General,192,21,Electrical,47,90
ST,299,200,Biotechnology,71,92
OBC,33,30,Chemical Engineering,54,61
SC,163,124,Biotechnology,79,85
General,246,173,Mechanical,89,72
ST,105,28,Mechanical,63,95
General,220,200,Biotechnology,97,79
OBC,13,28,Biotechnology,96,52
SC,165,126,Biotechnology,78,84
General,163,71,Biotechnology,72,62
OBC,141,61,Civil,49,87
OBC,142,44,Civil,49,95
OBC,270,137,Chemical Engineering,72,91
OBC,43,200,Chemical Engineering,71,86
ST,233,131,Mechanical,86,76
OBC,144,126,Mechanical,71,89
SC,151,127,Biotechnology,74,59
OBC,204,0,Biotechnology,62,69
ST,153,172,Computer Science,61,54
SC,266,130,Computer Science,58,77
General,211,31,Chemical Engineering,61,62
SC,276,21,Computer Science,61,55
General,180,1,Computer Science,82,61
General,116,198,Mechanical,92,85
General,124,200,Mechanical,90,92
SC,270,32,Computer Science,56,59
OBC,82,132,Biotechnology,62,79
General,17,19,Biotechnology,61,78
ST,145,183,Electrical,99,95
General,57,119,Civil,82,73
OBC,72,106,Civil,62,89
General,55,119,Civil,85,72
OBC,125,66,Chemical Engineering,95,92
SC,281,169,Civil,90,90
SC,178,15,Chemical Engineering,60,48
ST,173,23,Computer Science,88,64
OBC,119,56,Electrical,90,84
ST,239,102,Computer Science,89,74
General,101,170,Biotechnology,68,57
OBC,33,69,Biotechnology,62,77
SC,48,189,Electrical,89,56
ST,290,200,Biotechnology,70,89
SC,185,0,Chemical Engineering,68,51
OBC,18,167,Electrical,96,69
OBC,191,45,Civil,56,86
General,162,0,Computer Science,95,100
OBC,136,44,Civil,48,88
OBC,98,181,Mechanical,70,100
ST,154,62,Civil,75,75
OBC,278,196,Computer Science,72,81
OBC,130,59,Electrical,92,88
OBC,144,121,Mechanical,79,93
General,241,198,Electrical,73,61
SC,269,130,Computer Science,59,72
ST,14,12,Civil,52,78
OBC,51,131,Civil,91,96
OBC,72,134,Biotechnology,62,86
OBC,76,173,Mechanical,80,59
ST,20,0,Electrical,96,86
OBC,146,14,Electrical,61,49
General,242,200,Electrical,73,62
OBC,0,33,Biotechnology,96,52
ST,173,18,Computer Science,88,66
OBC,181,45,Civil,56,80
General,160,58,Civil,78,83
ST,14,0,Electrical,92,87
General,165,72,Biotechnology,76,60
General,193,42,Chemical Engineering,66,91
General,193,7,Computer Science,82,67
SC,139,35,Mechanical,85,59
OBC,77,175,Mechanical,75,61
General,187,14,Computer Science,86,65
OBC,286,56,Mechanical,90,82
General,231,181,Mechanical,90,73
OBC,45,120,Civil,96,93
OBC,34,195,Mechanical,92,55
SC,138,34,Mechanical,88,55
OBC,74,173,Mechanical,75,57
ST,74,29,Biotechnology,84,87
General,154,0,Computer Science,98,95
ST,261,157,Electrical,94,88
General,166,130,Computer Science,53,80
ST,107,42,Civil,47,57
OBC,0,52,Civil,79,57
ST,135,193,Electrical,98,87
OBC,47,194,Chemical Engineering,77,91
General,13,194,Computer Science,95,82
ST,157,9,Mechanical,72,93
General,189,29,Computer Science,68,79
General,160,69,Biotechnology,73,62
SC,65,191,Mechanical,51,69
ST,159,0,Mechanical,71,96
General,204,33,Chemical Engineering,67,62
OBC,272,151,Chemical Engineering,76,84
General,53,123,Civil,77,67
General,11,37,Biotechnology,60,75
General,188,12,Electrical,56,89
SC,269,129,Computer Science,52,72
General,115,33,Electrical,97,92
OBC,198,37,Chemical Engineering,71,52
General,161,113,Computer Science,55,84
SC,58,199,Mechanical,48,70
SC,49,193,Electrical,89,57
SC,55,200,Mechanical,48,74
General,25,200,Computer Science,100,89
OBC,5,32,Biotechnology,96,52
OBC,140,48,Civil,46,91
ST,16,2,Electrical,91,90
ST,62,98,Electrical,98,63
ST,281,142,Computer Science,64,73
General,86,99,Biotechnology,82,73
General,27,23,Biotechnology,65,82
ST,162,0,Mechanical,72,95
General,210,195,Biotechnology,89,83
General,193,3,Electrical,54,91
SC,40,183,Chemical Engineering,63,88
General,184,15,Computer Science,84,63
OBC,193,89,Mechanical,53,62
ST,257,143,Electrical,95,93
OBC,108,64,Computer Science,92,59
ST,97,29,Civil,54,62
General,115,32,Electrical,91,85
General,148,59,Civil,78,79
OBC,227,121,Biotechnology,80,90
OBC,84,196,Mechanical,73,93
OBC,18,76,Mechanical,57,77
General,38,117,Civil,77,76
OBC,132,67,Electrical,90,88
ST,226,161,Chemical Engineering,86,55
General,26,188,Computer Science,97,90
OBC,80,132,Biotechnology,59,85
General,9,200,Computer Science,93,82
General,248,200,Electrical,80,56
General,126,63,Mechanical,75,77
ST,5,0,Electrical,53,60
OBC,163,45,Electrical,66,75
OBC,70,76,Chemical Engineering,75,59
ST,242,155,Chemical Engineering,91,58
SC,162,149,Biotechnology,69,84
OBC,191,37,Chemical Engineering,68,52
ST,145,190,Electrical,100,88
OBC,133,53,Civil,53,88
General,45,129,Civil,78,76
OBC,197,93,Mechanical,56,56
SC,173,120,Biotechnology,79,84
General,162,52,Civil,73,88
General,237,185,Mechanical,98,76
OBC,47,125,Civil,95,92
OBC,155,28,Electrical,70,77
General,198,16,Computer Science,85,60
General,227,175,Mechanical,55,57
SC,149,127,Biotechnology,75,55
SC,81,191,Chemical Engineering,56,79
General,197,2,Electrical,49,86
General,127,39,Electrical,97,91
SC,260,121,Biotechnology,62,59
OBC,0,40,Biotechnology,92,61
ST,9,17,Civil,52,85
ST,57,136,Mechanical,55,47
OBC,204,12,Biotechnology,62,75
OBC,41,33,Chemical Engineering,52,64
SC,44,171,Chemical Engineering,62,81
General,232,173,Mechanical,98,71
OBC,111,57,Computer Science,91,53
ST,239,125,Mechanical,86,74
SC,286,152,Civil,91,88
General,215,31,Chemical Engineering,63,59
OBC,51,6,Biotechnology,67,52
SC,110,106,Chemical Engineering,77,86
OBC,39,65,Biotechnology,57,75
ST,93,24,Civil,53,62
General,112,177,Biotechnology,74,54
General,242,172,Mechanical,46,66
General,212,16,Chemical Engineering,61,67
General,164,121,Computer Science,52,87
OBC,40,71,Biotechnology,60,75
OBC,35,28,Chemical Engineering,47,66
SC,288,65,Chemical Engineering,83,50
OBC,70,103,Civil,68,86
OBC,100,180,Mechanical,71,95
OBC,108,40,Mechanical,60,88
OBC,118,61,Chemical Engineering,100,93
ST,156,66,Civil,77,74
OBC,30,37,Chemical Engineering,52,60
General,211,200,Biotechnology,94,77
OBC,176,85,Electrical,55,81
OBC,6,54,Civil,79,51
SC,38,123,Mechanical,61,79
OBC,17,153,Electrical,100,72
OBC,166,85,Electrical,49,84
General,25,200,Computer Science,100,86
SC,49,123,Mechanical,53,78
SC,141,43,Mechanical,91,55
SC,113,116,Chemical Engineering,72,92
ST,140,177,Computer Science,64,48
SC,291,157,Civil,86,90
OBC,182,84,Mechanical,52,59
OBC,161,14,Electrical,69,52
ST,141,62,Civil,82,75
SC,53,193,Mechanical,48,71
ST,89,41,Civil,55,62
ST,154,0,Mechanical,78,95
ST,290,195,Biotechnology,74,93
ST,289,138,Computer Science,63,73
ST,64,106,Electrical,96,64
ST,239,116,Computer Science,93,78
OBC,5,161,Electrical,92,67
OBC,20,157,Electrical,92,72
General,185,2,Electrical,53,90
SC,36,127,Mechanical,58,80
General,220,200,Biotechnology,96,85
OBC,86,136,Biotechnology,59,88
General,96,169,Biotechnology,75,56
SC,94,178,Chemical Engineering,58,77
